BRAND,MODEL,IMAGE_URL,PRICE
Bang & Olufsen,Beoplay A9,https://static.swappa.com/images/cache/c3/b0/c3b056c74ab12630d1d293a53063bb00.png,0
JBL,Charge 4,https://static.swappa.com/images/cache/ce/0e/ce0ee0cfcddd1c9b1beafc4f7b37c14f.png,0
Marshall,Uxbridge,https://static.swappa.com/images/cache/a6/20/a620e9e0db8a36997c900fceac4badb3.png,0
Sony,SRS-XB33 EXTRA BASS Portable Speaker,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
Sony,SRS-XG500,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
Sony,SRS-XP700,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
Sony,SRS-XP500,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
Apple,HomePod Mini,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,74
Apple,HomePod 1st Gen,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
Apple,HomePod 2nd Gen,https://static.swappa.com/images/cache/27/d1/27d1467ad939696c5c07899821593037.png,0
