BRAND,MODEL,YEAR,SIZE,PRICE,IMAGE_URL
Dell,XPS Plus 9320,2023,"13""",733,/placeholder-laptop.png
Google,Chromebook Pixel 2nd Gen,,,515,https://static.swappa.com/images/cache/6c/1a/6c1a1341eaf0c0b1119ab7a4578c7901.png
Google,Pixelbook,,,226,https://static.swappa.com/images/cache/67/08/6708e840d176149c609f9cd3a7b3dc3c.png
Google,Pixelbook Go,,,341,https://static.swappa.com/images/cache/9c/44/9c4443263978148556c2d381e0d5d80d.png
HP,Chromebook 13 G1,,,350,https://static.swappa.com/images/cache/6f/ad/6fad0059a0965a2b7d2cca0bb582229a.png
HP,Chromebook 13 G1,,,350,https://static.swappa.com/images/cache/6f/ad/6fad0059a0965a2b7d2cca0bb582229a.png
HP,Chromebook 14B,,,150,https://static.swappa.com/images/cache/13/1a/131a0a799e7b20bf46a0dcb098f8bd5a.png
HP,EliteBook Laptop,,,242,/placeholder-laptop.png
HP,Envy Laptop,,,494,/placeholder-laptop.png
HP,Laptop,,,334,/placeholder-laptop.png
HP,Omen Laptop,,,1229,/placeholder-laptop.png
HP,Omnibook Laptop,,,592,/placeholder-laptop.png
HP,Pavilion Laptop,,,252,/placeholder-laptop.png
HP,Spectre Laptop,,,489,/placeholder-laptop.png
HP,Victus Gaming Laptop,,,618,/placeholder-laptop.png
HP,Victus Gaming Laptop,,,618,/placeholder-laptop.png
Huawei,MateBook X Pro,,,694,https://static.swappa.com/images/cache/bc/d5/bcd536bfd19bd55dad785e575b361dd9.png
Lenovo,100e Chromebook,,,79,/placeholder-laptop.png
Lenovo,IdeaPad Chromebook,,,104,/placeholder-laptop.png
Lenovo,Legion 5 Slim,,"14""",1019,/placeholder-laptop.png
Lenovo,Legion 5 Slim,,"14""",1019,/placeholder-laptop.png
Lenovo,Legion 7 Slim,,"16""",875,https://static.swappa.com/images/cache/ae/73/ae7318a7d26483bc2bdbabd0873ec11c.png
Lenovo,Legion 7 Slim,,"16""",875,https://static.swappa.com/images/cache/ae/73/ae7318a7d26483bc2bdbabd0873ec11c.png
Lenovo,Legion 7i,,"15""",381,https://static.swappa.com/images/cache/ae/73/ae7318a7d26483bc2bdbabd0873ec11c.png
Lenovo,Legion 7i,,"16""",1364,https://static.swappa.com/images/cache/ae/73/ae7318a7d26483bc2bdbabd0873ec11c.png
Lenovo,Legion 9i Gen 10,,"18""",3499,/placeholder-laptop.png
Lenovo,Legion Pro 5,,"16""",1339,/placeholder-laptop.png
Lenovo,Legion Pro 5i Gen 9,,"16""",1488,https://static.swappa.com/images/cache/44/1b/441b162ef937b86e12b40dc6b33187ef.png
Lenovo,Legion Pro 5i Gen 9,,"16""",1488,https://static.swappa.com/images/cache/44/1b/441b162ef937b86e12b40dc6b33187ef.png
Lenovo,Legion Pro 7i,,"16""",1799,https://static.swappa.com/images/cache/7c/45/7c457e418b3015bf5caab51ef42d0c38.png
Lenovo,Legion Pro 7i,,"16""",1799,https://static.swappa.com/images/cache/7c/45/7c457e418b3015bf5caab51ef42d0c38.png
Lenovo,Legion Pro 7i Gen 10,,"16""",2298,https://static.swappa.com/images/cache/0c/c5/0cc51e7df7455c203d3878668c81b0fa.png
Lenovo,ThinkBook,,,481,/placeholder-laptop.png
Lenovo,ThinkPad C13 Yoga,,"13""",185,https://static.swappa.com/images/cache/ba/03/ba037dd87104c92e32ef6ebb13a66878.png
Lenovo,ThinkPad E15,,,309,/placeholder-laptop.png
Lenovo,ThinkPad E15,,,309,/placeholder-laptop.png
Lenovo,ThinkPad Laptop,,,948,/placeholder-laptop.png
Lenovo,ThinkPad P1,,"16""",1998,https://static.swappa.com/images/cache/0f/76/0f76aaa5eb9845b95d65ad52254edc2c.png
Lenovo,ThinkPad T14,,,618,https://static.swappa.com/images/cache/e6/9d/e69dd8b7be9d2f32d5ca90b8a3f13d07.png
Lenovo,ThinkPad T14,,,618,https://static.swappa.com/images/cache/e6/9d/e69dd8b7be9d2f32d5ca90b8a3f13d07.png
Lenovo,ThinkPad X1 Carbon,,,772,https://static.swappa.com/images/cache/e9/ed/e9ed364f920cd322e2195d6d275d4181.png
Lenovo,ThinkPad X1 Carbon,,,468,https://static.swappa.com/images/cache/e9/ed/e9ed364f920cd322e2195d6d275d4181.png
Lenovo,ThinkPad X1 Carbon,,,1277,https://static.swappa.com/images/cache/e9/ed/e9ed364f920cd322e2195d6d275d4181.png
Lenovo,ThinkPad X1 Carbon,,,1498,https://static.swappa.com/images/cache/e9/ed/e9ed364f920cd322e2195d6d275d4181.png
Lenovo,ThinkPad X1 Carbon,,,1030,https://static.swappa.com/images/cache/e9/ed/e9ed364f920cd322e2195d6d275d4181.png
Lenovo,Yoga Laptop,,,597,/placeholder-laptop.png
Microsoft,Surface Laptop,,,165,https://static.swappa.com/images/cache/32/3e/323e54dcb2f43dfd3f72cc057a9d0d7e.png
Microsoft,Surface Laptop,2025,"13""",669,https://static.swappa.com/images/cache/cb/12/cb125992dd1b060f7e2b9a86cf6c1f08.png
Microsoft,Surface Laptop,2025,"13""",669,https://static.swappa.com/images/cache/cb/12/cb125992dd1b060f7e2b9a86cf6c1f08.png
Microsoft,Surface Laptop 2,,,260,https://static.swappa.com/images/cache/7a/00/7a00012cbcfff01355aa77a63d53eeee.png
Microsoft,Surface Laptop 3,,,444,https://static.swappa.com/images/cache/b1/61/b161cf5614f16df620a16a741a212e07.png
Microsoft,Surface Laptop 4,,,454,https://static.swappa.com/images/cache/9b/31/9b316f8161911010c5f09cc90517bbf4.png
Microsoft,Surface Laptop 5,,,646,https://static.swappa.com/images/cache/8f/c4/8fc4bfa725f39e60af9a5b9b4d583854.png
Microsoft,Surface Laptop 6,,,1334,https://static.swappa.com/images/cache/13/bc/13bcd9078e00ed4d55a81dae67571462.png
Microsoft,Surface Laptop 6,,,1334,https://static.swappa.com/images/cache/13/bc/13bcd9078e00ed4d55a81dae67571462.png
