BRAND,MODEL,PRICE,IMAGE_URL
Samsung,Galaxy S20 Ultra 5G,189,https://static.swappa.com/images/cache/de/ec/deecb9259d80cc79723494ff5c70aa3b.png
Motorola,Razr (2023),109,https://static.swappa.com/images/cache/47/0f/470f7e0f2dda81dcab57d934de167233.png
Motorola,Razr Ultra (2025),509,https://static.swappa.com/images/cache/a8/79/a8798ef031001b262f0a79694e556d78.png
Samsung,Galaxy S10,113,https://static.swappa.com/images/cache/d8/8e/d88e727df3ccd5ccdd3c0e6a0c0940d2.png
Samsung,Galaxy A51 5G,87,https://static.swappa.com/images/cache/2a/d6/2ad6d541a5c179d78b8fd6be20445642.png
OnePlus,12,437,https://static.swappa.com/images/cache/db/b3/dbb3bd58e0c8c959c03bf6ff3b9596a4.png
Samsung,Galaxy A17 5G,175,https://static.swappa.com/images/cache/64/37/643736fa3824774a9611d12ee74cd278.png
Motorola,Razr Plus (2023),153,https://static.swappa.com/images/cache/ac/3b/ac3be7cda677e5db3dd67ea4226a13a4.png
OnePlus,15,730,https://static.swappa.com/images/cache/16/3f/163f75a9bfce7e5245888292da568db5.png
Motorola,Edge (2025),222,https://static.swappa.com/images/cache/1c/52/1c523802cec6e4408306afae959a2239.png
Motorola,Edge (2024),104,https://static.swappa.com/images/cache/72/8e/728e6d87d205afeee2a5799d046d5081.png
OnePlus,12R,329,
Google,Pixel XL,107,https://static.swappa.com/images/cache/0e/f3/0ef3b420eeec6ad228ea2a00418e6c4a.png
